iter	Accuracy	Logloss
0	0.75	0.6841243111
1	0.7760115607	0.6764903664
2	0.7861271676	0.6681834209
3	0.8294797688	0.657911965
4	0.8265895954	0.653643729
5	0.8251445087	0.6447717076
6	0.823699422	0.6391621502
7	0.8338150289	0.6321628387
8	0.8352601156	0.6272586743
9	0.8424855491	0.6191659642
10	0.8497109827	0.6113954282
11	0.8598265896	0.6044831176
12	0.8612716763	0.5986203841
13	0.862716763	0.5921698772
14	0.8583815029	0.5857985314
15	0.8728323699	0.5796001401
16	0.8699421965	0.5734483832
17	0.8815028902	0.5680364438
18	0.8742774566	0.5612323591
19	0.8786127168	0.5543309661
20	0.8815028902	0.5489116105
21	0.8829479769	0.5458776905
22	0.8786127168	0.5430147529
23	0.8829479769	0.5369771625
24	0.8843930636	0.5326739669
25	0.8800578035	0.5277892705
26	0.8858381503	0.5229520207
27	0.8887283237	0.5186578205
28	0.8887283237	0.5150355461
29	0.8916184971	0.5109451346
30	0.8930635838	0.5056474356
31	0.8916184971	0.5019299676
32	0.8930635838	0.4983207278
33	0.8916184971	0.4945930201
34	0.8916184971	0.4887361951
35	0.8930635838	0.4861390848
36	0.8959537572	0.4830165926
37	0.8973988439	0.4805326246
38	0.8930635838	0.4774011731
39	0.8901734104	0.4738791291
40	0.8930635838	0.4701837767
41	0.8988439306	0.4669341412
42	0.8973988439	0.464107271
43	0.8959537572	0.4606821158
44	0.8988439306	0.4567893949
45	0.8973988439	0.453412475
46	0.901734104	0.4510910677
47	0.9060693642	0.4482704085
48	0.9089595376	0.4465103005
49	0.9089595376	0.4444158138
50	0.9089595376	0.4420258418
51	0.9089595376	0.4398211917
52	0.9104046243	0.4374282982
53	0.9089595376	0.4342625604
54	0.9075144509	0.4314072719
55	0.9104046243	0.4282117551
56	0.911849711	0.4256472373
57	0.9147398844	0.423441303
58	0.9161849711	0.4211807665
59	0.9147398844	0.4194843282
60	0.9132947977	0.4175246177
61	0.9161849711	0.4154009363
62	0.9176300578	0.4131483027
63	0.9147398844	0.4111787889
64	0.9161849711	0.4093005699
65	0.9147398844	0.4073847045
66	0.9147398844	0.4053679957
67	0.9147398844	0.4031124091
68	0.9147398844	0.4016020192
69	0.9161849711	0.4000264296
70	0.9161849711	0.3984031376
71	0.9176300578	0.3964276072
72	0.9176300578	0.3941991106
73	0.9176300578	0.3923040719
74	0.9190751445	0.3882577039
75	0.9161849711	0.3863696348
76	0.9161849711	0.3843639572
77	0.9161849711	0.3817384372
78	0.9190751445	0.3794303321
79	0.9190751445	0.3778331883
80	0.9190751445	0.3764592322
81	0.9161849711	0.3747748977
82	0.9176300578	0.3729152922
83	0.9190751445	0.3715928601
84	0.9190751445	0.3701588922
85	0.9205202312	0.3688173893
86	0.9219653179	0.3668004817
87	0.9176300578	0.3652619424
88	0.9190751445	0.3635119236
89	0.9205202312	0.3624104419
90	0.9234104046	0.3607308437
91	0.9234104046	0.3590338295
92	0.9248554913	0.3575946777
93	0.9248554913	0.355970623
94	0.9248554913	0.3545412999
95	0.9248554913	0.352845689
96	0.9248554913	0.3514943235
97	0.9248554913	0.3503648784
98	0.926300578	0.3492132248
99	0.926300578	0.3475155396
100	0.9291907514	0.3462792949
101	0.9291907514	0.3442218188
102	0.9277456647	0.3428231311
103	0.9277456647	0.3414050571
104	0.9306358382	0.3403579168
105	0.9320809249	0.339473723
106	0.9306358382	0.3378732711
107	0.9320809249	0.3362819375
108	0.9320809249	0.3349701552
109	0.9320809249	0.3332950045
110	0.9320809249	0.3322782087
111	0.9320809249	0.3312766197
112	0.9320809249	0.3301964445
113	0.9320809249	0.3291915801
114	0.9306358382	0.327823734
115	0.9320809249	0.3270506741
116	0.9291907514	0.3259401653
117	0.9306358382	0.3250275126
118	0.9320809249	0.3241281077
119	0.9335260116	0.3226961656
120	0.9378612717	0.3207959046
121	0.936416185	0.3196479193
122	0.936416185	0.3185899944
123	0.9378612717	0.3164918784
124	0.9378612717	0.3150777769
125	0.9378612717	0.3136941061
126	0.9393063584	0.3127332271
127	0.9393063584	0.3114602113
128	0.9407514451	0.3099254565
