iter	Passed	Remaining
0	216	43171
1	267	26526
2	319	20951
3	370	18131
4	423	16517
5	472	15287
6	522	14417
7	588	14121
8	639	13581
9	690	13114
10	739	12710
11	788	12354
12	827	11905
13	875	11632
14	924	11406
15	973	11196
16	1023	11022
17	1074	10860
18	1123	10698
19	1172	10556
20	1225	10441
21	1274	10311
22	1325	10197
23	1374	10081
24	1424	9968
25	1472	9857
26	1523	9761
27	1574	9673
28	1598	9426
29	1646	9328
30	1695	9243
31	1743	9152
32	1792	9068
33	1842	8994
34	1889	8908
35	1939	8834
36	1988	8759
37	2038	8691
38	2088	8622
39	2138	8554
40	2188	8485
41	2238	8420
42	2287	8352
43	2337	8287
44	2401	8270
45	2450	8203
46	2501	8143
47	2551	8079
48	2599	8010
49	2616	7848
50	2664	7783
51	2714	7726
52	2763	7664
53	2813	7605
54	2860	7540
55	2910	7484
56	2959	7425
57	3009	7369
58	3059	7311
59	3109	7255
60	3159	7199
61	3208	7142
62	3261	7092
63	3312	7039
64	3364	6987
65	3419	6942
66	3469	6886
67	3517	6827
68	3567	6772
69	3619	6721
70	3636	6606
71	3682	6546
72	3698	6434
73	3746	6378
74	3795	6326
75	3845	6273
76	3896	6224
77	3947	6174
78	3964	6072
79	4011	6017
80	4061	5967
81	4112	5918
82	4162	5867
83	4193	5791
84	4223	5713
85	4269	5659
86	4317	5608
87	4367	5558
88	4416	5507
89	4463	5455
90	4513	5405
91	4562	5355
92	4612	5306
93	4661	5256
94	4711	5207
95	4760	5157
96	4809	5107
97	4858	5056
98	4907	5006
99	4956	4956
100	5006	4907
101	5054	4855
102	5103	4806
103	5154	4757
104	5212	4715
105	5264	4668
106	5314	4619
107	5365	4570
108	5396	4505
109	5445	4455
110	5485	4398
111	5534	4348
112	5584	4299
113	5634	4250
114	5683	4200
115	5707	4133
116	5755	4082
117	5805	4034
118	5854	3985
119	5903	3935
120	5920	3865
121	5966	3814
122	6019	3768
123	6068	3719
124	6119	3671
125	6168	3622
126	6218	3574
127	6235	3507
128	6250	3439
129	6296	3390
130	6346	3342
131	6397	3295
132	6448	3248
133	6498	3200
134	6515	3137
135	6562	3088
136	6612	3040
137	6629	2978
138	6677	2930
139	6695	2869
140	6741	2821
141	6791	2773
142	6814	2716
143	6865	2670
144	6915	2623
145	6966	2576
146	7005	2525
147	7053	2478
148	7104	2431
149	7157	2385
150	7206	2338
151	7257	2291
152	7308	2244
153	7359	2198
154	7409	2151
155	7458	2103
156	7508	2056
157	7555	2008
158	7600	1959
159	7648	1912
160	7700	1865
161	7747	1817
162	7796	1769
163	7844	1722
164	7894	1674
165	7943	1627
166	7993	1579
167	8043	1532
168	8092	1484
169	8140	1436
170	8189	1388
171	8239	1341
172	8289	1293
173	8341	1246
174	8404	1200
175	8454	1152
176	8506	1105
177	8559	1057
178	8611	1010
179	8660	962
180	8712	914
181	8762	866
182	8811	818
183	8860	770
184	8909	722
185	8957	674
186	9006	626
187	9055	578
188	9105	529
189	9155	481
190	9202	433
191	9266	386
192	9316	337
193	9366	289
194	9415	241
195	9466	193
196	9516	144
197	9563	96
198	9613	48
199	9662	0
